178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/jui/js/bootstrap.min.js?5c3c712deec8f5e07670dabc552ece4f HTTP/1.1" 200 8052 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /templates/it_zen/assets/js/jquery.stellar.min.js HTTP/1.1" 200 3749 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /media/system/js/html5fallback.js HTTP/1.1" 200 2695 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /modules/mod_globalnews/scripts/slider.js HTTP/1.1" 200 2410 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /modules/mod_slideshowck/assets/jquery.easing.1.3.js HTTP/1.1" 200 1150 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:38 -0500] "GET /modules/mod_slideshowck/assets/camera.min.js HTTP/1.1" 200 9961 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:39 -0500] "GET /templates/it_zen/assets/less/styles/style1.css HTTP/1.1" 200 3299 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:39 -0500] "GET /templates/it_zen/assets/js/jquery.pageslide.min.js HTTP/1.1" 200 1190 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:39 -0500] "GET /templates/it_zen/assets/js/css3-animate-it.min.js HTTP/1.1" 200 1545 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /media/mod_languages/images/en.gif HTTP/1.1" 200 1312 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /media/mod_languages/images/uk.gif HTTP/1.1" 200 334 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /media/mod_languages/images/de.gif HTTP/1.1" 200 344 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /templates/it_zen/assets/css/custom.css HTTP/1.1" 200 523 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
178.150.235.9 - - [01/Dec/2017:01:25:40 -0500] "GET /media/mod_languages/images/ru.gif HTTP/1.1" 200 376 "http://tariscope.com/en/" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.94 Safari/537.36"
